date,storage_km3,pet_mm_local,t2m_c_local,precip_mm_up,soil_l1_up,soil_l2_up
1987-12-12,4.0645036308659215,10.817197367707228,20.619207732992248,0.5578408857007853,0.2893186773461632,0.3364704422086302
1987-12-13,4.065823486136545,9.781857949649076,20.67028464325524,0.0,0.2866087867708291,0.3340494905401769
1987-12-14,4.067143341407167,10.625721708686292,21.699674770912893,0.0,0.284316430920643,0.3318541446978723
1987-12-15,4.06846319667779,10.567313193008644,21.073050499058898,0.0,0.2818224699107973,0.3296021170840604
1987-12-16,4.069783051948413,10.892962287879678,19.960405441963413,0.0979005537660068,0.2796421466103658,0.3274882836534312
1987-12-17,4.071102907219036,11.177410802638583,19.923213394929164,0.0,0.2775724608675767,0.3254419507258988
1987-12-18,4.0724227624896585,11.775650784983805,19.692745188094207,0.0,0.2754853639629175,0.3234130110405581
1987-12-19,4.073742617760281,12.554628613414824,19.79348676119061,0.0,0.2735631599166617,0.321500901624599
1987-12-20,4.075062473030904,13.123577378678938,19.21072217760874,0.0,0.2717581428876718,0.3196637152985501
1987-12-21,4.076382328301527,12.166107878970813,18.97017676103098,0.0,0.270158040307533,0.3179495989470637
1987-12-22,4.07770218357215,11.302691207398777,19.541618250305163,0.0,0.2687553010431671,0.3163515609698789
1987-12-23,4.079022038842773,11.253601027728935,19.39524389565084,0.0,0.267447141293151,0.3148247725485201
1987-12-24,4.080341894113396,11.570513711985036,19.50205371627077,0.0,0.2662187784198787,0.3133550884739434
1987-12-25,4.081661749384019,11.746160946051525,20.8685934384182,0.0,0.2650484081974492,0.3119448997432463
1987-12-26,4.082981604654641,11.203945994558032,21.87686831851049,0.7187265888567103,0.2638728575422602,0.3105718305293556
1987-12-27,4.085621315195887,10.082860229952384,22.70758845879688,0.0,0.2627681969522047,0.3092680733517711
1987-12-28,4.088261025737133,11.36804192308591,23.25246618017141,0.0,0.2617312859122059,0.3080183591816138
1987-12-29,4.090900736278378,12.146220956568651,23.133313511957976,0.0,0.2606774473588015,0.3067862115991091
1987-12-30,4.093540446819624,12.379142092554996,22.97788795158609,0.0,0.2596281547352563,0.3055815447577922
1987-12-31,4.096180157360871,10.217403696230944,22.60383085039572,0.0,0.2588405440905307,0.3045399420534064
1988-01-01,4.098819867902116,12.284823869989568,22.81726118173636,0.0,0.2581157814152414,0.3035341827287255
1988-01-02,4.101459578443361,12.502930029570969,22.15122021707432,0.0,0.2573997831084038,0.3025398669472798
1988-01-03,4.104099288984608,11.814854270319294,21.7326742717336,0.0,0.2567906851919805,0.3016198348157894
1988-01-04,4.106738999525853,11.38590330509568,22.662907257041525,0.0,0.2562382465560396,0.3007487042068396
1988-01-05,4.109378710067099,12.071290377058284,23.3102800001686,0.0,0.2557126684209871,0.2999019001099604
1988-01-06,4.1120184206083445,11.137705290625057,22.752945274889463,0.0,0.2552655848774742,0.2991232291905402
1988-01-07,4.114658131149591,11.02624247938802,23.193591265565065,0.0,0.2548581500853848,0.2984003212019714
1988-01-08,4.117297841690835,9.336673446870176,22.870015753214005,0.0,0.2545831856020413,0.297742700270502
1988-01-09,4.119937552232082,10.746648046152728,23.65829614476239,0.0,0.2542863962303106,0.2971055957251845
1988-01-10,4.122577262773327,13.603635494101212,23.949617622811594,0.0,0.253917979892383,0.2964409510111743
1988-01-11,4.125216973314574,13.15587755626178,23.32984753127769,0.0,0.2535667763198854,0.295791617382431
1988-01-12,4.127856683855819,12.360159471653663,22.22913251924106,0.0,0.2532846295197028,0.2951878864097064
1988-01-13,4.131711274130572,11.312355514904077,22.775771473029334,0.0,0.2530165372330485,0.2946126665596811
1988-01-14,4.136780744138831,11.87683351349216,23.26645915832676,0.0,0.2527470388001969,0.2940471774607671
1988-01-15,4.143065093880596,11.676516853080717,23.96806438062069,0.0,0.2524857744595975,0.2934945543252797
1988-01-16,4.1505643233558684,12.533988628383836,24.72935785844465,0.0,0.252248877773188,0.2929587764189601
1988-01-17,4.159278432564647,13.42763194364915,24.38840629392404,0.0,0.252073131989523,0.2924659618560174
1988-01-18,4.169207421506933,12.290164545653264,23.70770768304036,0.0,0.251944971180593,0.2920119486997026
1988-01-19,4.180351290182724,12.944539056381435,22.34998476147112,0.0,0.2518166469003104,0.2915822437700724
1988-01-20,4.192710038592023,12.660195155009877,22.70826505912817,0.0,0.2516846715769687,0.2911527218771579
1988-01-21,4.206283666734828,13.244805357253604,23.298653866078563,0.0,0.2515414750606876,0.2907293469825169
1988-01-22,4.22107217461114,13.551049126659793,23.60290243470076,0.0,0.2513952813867571,0.290305172650792
1988-01-23,4.237075562220958,13.43702349659163,23.98256083996419,0.0,0.2512336212017772,0.2898951925329457
1988-01-24,4.254293829564284,12.80178882645186,24.17014383423132,0.0,0.251091352485991,0.2895097678602057
1988-01-25,4.272726976641116,12.807681206868164,25.27300895011724,0.0,0.2509784868540419,0.2891491780332723
1988-01-26,4.292375003451453,12.683155074466884,25.87519352844889,0.0,0.2508885547534444,0.2888065338500473
1988-01-27,4.313237909995299,13.416310588579078,26.64309053763516,0.0,0.2508155262123966,0.2884649129170332
1988-01-28,4.334100816539143,11.316872353076212,26.60551364225276,0.0030621264385276,0.2512599569120819,0.2881567403438415
1988-01-29,4.354963723082989,10.817298634551545,26.67981760645372,0.1692014894721118,0.2560517412854366,0.287906111515262
1988-01-30,4.375826629626833,10.104812873875067,26.40634588609157,0.1137301555973957,0.2649805439980213,0.2877217748914603
1988-01-31,4.396689536170678,12.8889703198883,27.41825536323668,0.0,0.2649838836409538,0.2874911674636287
1988-02-01,4.417552442714523,13.155049614732654,27.59745073545205,0.0,0.2630177068980037,0.2872331400020915
1988-02-02,4.438415349258368,11.402209709103085,27.21527499371128,0.0,0.2632838320428123,0.2870098145464537
1988-02-03,4.459278255802213,14.062881628009004,27.458910141415743,0.0,0.2619249980020656,0.2867771300816054
1988-02-04,4.480141162346058,14.609151945219056,27.209471841598944,0.0,0.2607693047277103,0.2865326787878942
1988-02-05,4.501004068889903,13.616747204468716,26.56867539633029,0.0,0.2607781016441494,0.2863086332537484
1988-02-06,4.521866975433747,14.211799299318988,27.184815200435224,0.0,0.2592790415481072,0.2860891087813365
1988-02-07,4.542729881977593,15.692739242939378,27.288318459024104,0.0,0.2577132092558999,0.2858634830241167
1988-02-08,4.5635927885214365,17.017989728899394,27.251520558783227,0.0,0.2562165118146063,0.2856361885425538
1988-02-09,4.584455695065282,15.643001710699254,27.24493920071053,0.0,0.2551376873781052,0.2854208216183984
1988-02-10,4.605318601609127,11.829443535963938,26.479185127138702,0.0,0.2597289580465015,0.2852464980720708
1988-02-11,4.626181508152973,10.749132255140315,26.28662438901557,0.0,0.2699076544917358,0.2851302284326299
1988-02-12,4.6470444146968175,11.496220411498198,25.77488395679344,0.0,0.2733291565269081,0.2850111825230046
1988-02-13,4.668210124290781,13.604345266482538,26.49806703250099,0.0,0.2712268507522907,0.2848755876074678
1988-02-14,4.689678636934865,14.653271649241992,27.0245778017715,0.0,0.2684198055316705,0.2847298614908621
1988-02-15,4.711449952629066,11.617916205131957,26.116938835186527,4.852130347861912,0.2688100057987202,0.284601547084688
1988-02-16,4.733524071373388,10.947446292195588,25.57524708066256,0.0679569051788229,0.2713321595826916,0.2844969135335989
1988-02-17,4.755900993167828,8.187744500785389,24.577887430031865,0.0051846525875042,0.2811697297146081,0.28443689595909
1988-02-18,4.778580718012389,13.242955386005512,25.23416688732871,4.943778171430851,0.2870539689998866,0.2843658340113262
1988-02-19,4.801563245907067,9.128628521931551,21.989237285685427,0.0,0.3262268253282898,0.2845619846402873
1988-02-20,4.824848576851864,13.784210196214309,23.877560723690195,0.0,0.3173356680202182,0.2847816895894609
1988-02-21,4.848436710846783,14.437938812831826,24.77023104010176,0.0,0.3077082690199731,0.2848155557703576
1988-02-22,4.872327647891818,15.054158018463845,25.387039308639675,0.0,0.2991221646153564,0.284754011914664
1988-02-23,4.896521387986973,15.654493931663964,26.479319868729373,0.0,0.2921280508450061,0.2846549994741416
1988-02-24,4.921017931132248,17.262910810696333,27.468177353159994,0.0,0.2858363928587779,0.2845295560564523
1988-02-25,4.945817277327642,16.008321834623544,27.861097549608303,0.084098084407531,0.2809880991451076,0.2843949823797339
1988-02-26,4.970919426573154,17.012384902454112,28.02864416389679,0.0,0.2765095723279884,0.2842542902299444
1988-02-27,4.996324378868786,17.366505492258145,28.4252666272717,0.0,0.2719525518335989,0.2841017217218288
1988-02-28,5.021729331164418,17.227625041883524,28.75495505209942,0.0,0.268021894500121,0.2839505823994973
1988-02-29,5.04713428346005,18.021749471044327,29.18093109188748,0.0,0.2646200655290898,0.2837969445619976
1988-03-01,5.072539235755682,19.23247086441029,29.136346686386883,0.0,0.2616302765246583,0.2836454025954623
1988-03-02,5.097944188051314,18.838034414195874,28.860822331839056,0.0,0.2591146056415045,0.2835004777444791
1988-03-03,5.123349140346946,15.12184553696281,27.96153121373242,1.7051212051414637,0.2593129435683609,0.283371810064644
1988-03-04,5.1487540926425766,13.365064183750356,26.715358862059265,7.314585365765358,0.2600318459602322,0.2832532393922058
1988-03-05,5.174159044938209,11.038803005073792,24.912369069247543,0.0,0.2674565699696827,0.2831745668838584
1988-03-06,5.199563997233842,11.638924129002014,24.68507289896124,0.0017764070275331,0.2702021792183877,0.2831138946925242
1988-03-07,5.224968949529473,11.334965177931808,23.53744746349532,0.2441351184581653,0.2776320703122659,0.2830731212069965
1988-03-08,5.250373901825105,15.296062757013782,25.22339026335823,0.0,0.2764583024822298,0.2830050021092852
1988-03-09,5.275778854120737,16.785523078329465,25.301199272514683,0.8529374760396492,0.272358196303527,0.2829129935202327
1988-03-10,5.301183806416368,15.39856270068694,27.368702128347188,0.0,0.2685804214382456,0.2828091491664111
1988-03-11,5.326588758712,17.446742807154592,28.91489816915525,0.0,0.265242133452787,0.2827061073581892
1988-03-12,5.351993711007632,19.181761432761306,30.028128543018283,0.1648861173414019,0.2621589258731743,0.2826005637434296
1988-03-13,5.377398663303263,18.16030431182685,29.665294008153733,0.0,0.2597215199171097,0.2824898097078771
1988-03-14,5.402803615598896,19.0588698152888,30.0464169368638,0.0,0.2575952176816419,0.2823780852668798
1988-03-15,5.428208567894528,20.660688475972787,30.83121694585081,0.0,0.2556228575524999,0.2822699345217582
1988-03-16,5.453613520190159,20.50616241686261,30.920383754956013,0.0,0.2540813587208104,0.2821711012780203
1988-03-17,5.479018472485792,21.54872866067612,30.457999451424563,0.0,0.2529270002796465,0.2820713310910944
1988-03-18,5.504423424781422,19.56529441616061,30.486379349032763,0.0,0.252076485712203,0.2819719002809361
1988-03-19,5.529828377077055,19.232217748175987,30.5629046537084,0.0,0.2514758467982821,0.2818754331661704
1988-03-20,5.555233329372686,18.960475243277543,30.83457228757545,0.0,0.2516856856844864,0.2817809397759894
1988-03-21,5.580638281668318,20.518733977095675,30.37985153815696,0.0,0.2515590981501836,0.2816908213473065
1988-03-22,5.60604323396395,22.08958320851029,30.00682116456873,0.0,0.2510936721700824,0.2816044750109396
1988-03-23,5.631448186259581,21.242236206943964,29.49836854987757,0.0,0.2506978738320525,0.2815203757656808
1988-03-24,5.656853138555214,19.16299152084837,29.02619481180796,0.0,0.2504961114180715,0.2814384526642318
1988-03-25,5.682258090850845,17.917515509316704,29.21464497436465,0.0,0.2503488977852998,0.2813586139139536
1988-03-26,5.707663043146478,18.427743512871416,29.63640946874008,0.2041996921335585,0.2502049111574818,0.2812797766542768
1988-03-27,5.733067995442108,19.42779665335176,30.17590400780702,0.0,0.2500914315022646,0.2812051355250215
1988-03-28,5.75847294773774,20.59121839193364,30.26553592247743,0.0,0.2499960399339142,0.2811320537734998
1988-03-29,5.783877900033373,20.728326553820843,30.59993489834177,0.0,0.249915936594098,0.2810600300144228
1988-03-30,5.809282852329004,19.97495882427928,30.8257330020872,0.0,0.2498523652547845,0.2809917781648077
1988-03-31,5.834687804624637,20.394944366808183,31.12149102418909,0.0,0.2498732533828374,0.2809275549514767
1988-04-01,5.860092756920268,20.78113181457173,31.38062341040776,0.0,0.2498298310762672,0.2808639792236703
1988-04-02,5.880049104408196,20.52155161935028,31.56259757540237,0.0,0.249780545743471,0.2808029694841071
1988-04-03,5.894556847088417,20.67850101654374,31.56222764913884,0.0,0.2497412546542013,0.2807457097115425
1988-04-04,5.903615984960935,20.97902462813489,31.79109992228439,0.0,0.2498452743648763,0.2806899098442106
1988-04-05,5.907226518025749,19.07659824004846,31.31841631625481,0.0,0.2498697420401286,0.2806359975772947
1988-04-06,5.905388446282857,19.62377940486885,31.94119296520122,0.0,0.249945927553101,0.2805825607304194
1988-04-07,5.898101769732263,19.052349030971527,31.18735734305724,0.5424095759914647,0.2525848624187649,0.2805338537643882
1988-04-08,5.885366488373961,12.381674555075188,28.5799006717279,0.0,0.264679520279412,0.2805065460029539
1988-04-09,5.867182602207957,14.338444030881837,29.21151308668463,0.0,0.2701166612100149,0.2804889876437249
1988-04-10,5.843550111234246,16.779312640654663,30.17699850851321,0.0,0.2711602473302401,0.28047269701032
1988-04-11,5.814469015452833,19.75646712259024,31.616358762904145,0.8851946388727883,0.2711396217803326,0.2804562919103977
1988-04-12,5.7799393148637135,15.591342584406664,29.04200049184706,11.423037818976672,0.3503504886504686,0.2945305653585705
1988-04-13,5.73996100946689,5.722570514280988,25.519888574062865,8.891628796153437,0.444845662753793,0.378744295968864
1988-04-14,5.694534099262362,10.366177070484538,26.576404475635165,12.980475873835612,0.4402953134996987,0.3879315757806322
1988-04-15,5.643658584250127,8.084930513444188,25.251220065026708,0.0,0.4376779105905352,0.3937024242776705
1988-04-16,5.587334464430192,10.954985624018136,27.02403935059555,0.3382823077099898,0.4126906434729211,0.3900012585977594
1988-04-17,5.531010344610253,12.158299071293138,27.83740689803933,15.209846950357925,0.4040633642185502,0.3844689914197595
1988-04-18,5.474686224790316,6.160180648288525,25.310488258134143,20.98401949425727,0.4556078509920546,0.3973859794850022
1988-04-19,5.418362104970379,8.38656342490852,26.37456654330128,4.810765813543568,0.449023654072114,0.4081771743799282
1988-04-20,5.362037985150441,11.703837906011865,27.624021791217924,1.681584812927649,0.4268591018368101,0.4034999996986569
1988-04-21,5.305713865330504,13.380535410459924,28.53846012186876,0.0,0.4080270727532626,0.3968025240798935
